,day,month,month_no,year,Gas supply by Russia,Gas Consumption,price,inflation rate
55,24,February,2,2018,186.4,7758.1,19.836666666666666,1.1
56,25,February,2,2018,187.2,8395.1,19.263333333333335,1.1
57,26,February,2,2018,185.2,10971.2,18.69,1.1
58,27,February,2,2018,184.4,11299.8,19.195,1.1
59,28,February,2,2018,179.7,11821.6,17.35,1.1
60,1,March,3,2018,180.6,11288.6,17.56,1.4
61,2,March,3,2018,183.8,10177.5,17.805,1.4
62,3,March,3,2018,182.2,7966.6,17.71,1.4
63,4,March,3,2018,181.7,6375.2,17.615,1.4
64,5,March,3,2018,181.5,6347.5,17.52,1.4
65,6,March,3,2018,181.4,6005.4,17.7,1.4
66,7,March,3,2018,180.8,5624.3,17.83,1.4
67,8,March,3,2018,180.4,5049.5,18.315,1.4
68,9,March,3,2018,179.4,4176.5,18.94,1.4
69,10,March,3,2018,178.5,2596.2,19.19666666666667,1.4
70,11,March,3,2018,178.3,2042.2,19.453333333333333,1.4
71,12,March,3,2018,180.1,3096.0,19.71,1.4
72,13,March,3,2018,178.8,3719.9,19.46,1.4
73,14,March,3,2018,179.6,3836.5,18.61,1.4
74,15,March,3,2018,178.8,3782.0,18.8,1.4
75,16,March,3,2018,179.2,3823.8,18.66,1.4
76,17,March,3,2018,172.4,4163.0,18.673333333333332,1.4
77,18,March,3,2018,178.4,5204.4,18.686666666666667,1.4
78,19,March,3,2018,180.8,6474.1,18.7,1.4
79,20,March,3,2018,181.7,6016.9,19.18,1.4
80,21,March,3,2018,182.4,5721.2,19.39,1.4
81,22,March,3,2018,178.1,5075.8,19.01,1.4
82,23,March,3,2018,179.9,4156.3,18.45,1.4
83,24,March,3,2018,176.0,2553.4,18.296666666666667,1.4
84,25,March,3,2018,176.6,1923.9,18.14333333333333,1.4
85,26,March,3,2018,176.5,2983.9,17.99,1.4
86,27,March,3,2018,176.2,3236.0,18.5,1.4
87,28,March,3,2018,177.0,2875.7,18.37,1.4
88,29,March,3,2018,176.5,2438.5,18.225,1.4
89,30,March,3,2018,178.1,1871.8,18.22625,1.4
90,31,March,3,2018,178.1,1570.3,18.2275,1.4
91,1,April,4,2018,180.4,1307.4,18.22875,1.2
92,2,April,4,2018,178.9,974.9,18.23,1.2
93,3,April,4,2018,180.1,662.2,18.04,1.2
94,4,April,4,2018,177.7,504.0,18.185,1.2
95,5,April,4,2018,173.4,1078.9,18.13,1.2
96,6,April,4,2018,171.9,644.5,18.18,1.2
97,7,April,4,2018,170.3,380.0,18.335,1.2
98,8,April,4,2018,170.1,260.7,18.49,1.2
99,9,April,4,2018,173.4,501.8,18.645,1.2
100,10,April,4,2018,173.2,631.5,18.84,1.2
101,11,April,4,2018,172.4,642.7,19.255,1.2
102,12,April,4,2018,175.8,983.1,19.21,1.2
103,13,April,4,2018,175.0,556.9,19.57,1.2
104,14,April,4,2018,173.7,214.9,19.496666666666666,1.2
105,15,April,4,2018,171.5,139.5,19.423333333333336,1.2
106,16,April,4,2018,174.0,316.8,19.35,1.2
107,17,April,4,2018,173.0,231.4,19.015,1.2
108,18,April,4,2018,173.5,163.2,19.31,1.2
109,19,April,4,2018,172.5,188.6,19.86,1.2
110,20,April,4,2018,173.1,187.6,19.8,1.2
