"Datum","Zuletzt","Eröffn.","Hoch","Tief","Vol.","+/- %"
"22. Juli 2020","4,830","4,820","4,915","4,725","0,29K","0,84%"
"21. Juli 2020","4,790","4,900","4,970","4,760","0,52K","1,27%"
"20. Juli 2020","4,730","4,950","4,980","4,710","0,25K","-7,62%"
"17. Juli 2020","5,120","5,160","5,170","5,070","0,61K","1,19%"
"16. Juli 2020","5,060","5,090","5,110","5,000","0,16K","-3,16%"
"15. Juli 2020","5,225","5,350","5,395","5,225","0,12K","2,75%"
"14. Juli 2020","5,085","5,160","5,180","4,990","1,22K","-0,49%"
"13. Juli 2020","5,110","5,520","5,550","5,090","0,71K","-6,67%"
"10. Juli 2020","5,475","5,570","5,585","5,425","0,11K","-4,87%"
"09. Juli 2020","5,755","5,855","5,875","5,760","0,09K","-2,95%"
"08. Juli 2020","5,930","6,090","6,190","5,860","0,13K","-3,10%"
"07. Juli 2020","6,120","6,130","6,320","6,130","0,06K","0,41%"
"06. Juli 2020","6,095","6,145","6,150","6,075","0,14K","2,44%"
"02. Juli 2020","5,950","5,760","5,950","5,710","0,66K","1,45%"
"01. Juli 2020","5,865","5,950","6,185","5,800","0,71K","-4,87%"
"30. Juni 2020","6,165","6,105","6,455","6,025","0,26K","5,57%"
"29. Juni 2020","5,840","5,400","5,870","5,400","0,51K","14,29%"
"26. Juni 2020","5,110","5,070","5,230","5,040","0,21K","-2,67%"
"25. Juni 2020","5,250","5,420","5,430","5,290","0,05K","-7,33%"
"24. Juni 2020","5,665","5,825","5,845","5,680","0,30K","-2,83%"
"23. Juni 2020","5,830","5,700","5,850","5,700","0,57K","6,00%"
"22. Juni 2020","5,500","5,450","5,530","5,390","0,41K","-2,05%"
"19. Juni 2020","5,615","5,550","5,675","5,550","0,30K","3,03%"
"18. Juni 2020","5,450","5,420","5,530","5,330","0,67K","4,61%"
"17. Juni 2020","5,210","5,200","5,275","4,995","0,66K","-0,95%"
"16. Juni 2020","5,260","5,550","5,550","5,170","0,43K","-4,62%"
"15. Juni 2020","5,515","5,450","5,575","5,400","0,34K","4,45%"
"12. Juni 2020","5,280","5,150","5,440","5,150","0,51K","5,81%"
"11. Juni 2020","4,990","4,780","5,030","4,780","0,38K","3,96%"
"10. Juni 2020","4,800","4,700","4,850","4,620","0,59K","0,00%"
"09. Juni 2020","4,800","5,280","5,280","4,780","0,19K","-8,57%"
"08. Juni 2020","5,250","5,600","5,780","5,250","0,28K","-8,06%"
"05. Juni 2020","5,710","5,350","5,850","5,120","0,33K","5,94%"
"04. Juni 2020","5,390","4,975","5,400","4,975","0,52K","1,13%"
"03. Juni 2020","5,330","5,150","5,540","4,940","0,45K","9,90%"
"02. Juni 2020","4,850","4,370","4,950","4,350","0,88K","19,75%"
"01. Juni 2020","4,050","4,100","4,250","3,950","0,74K","-7,53%"
"29. Mai 2020","4,380","4,420","4,500","4,400","0,05K","24,79%"
"28. Mai 2020","3,510","3,700","3,850","3,500","1,57K","-5,01%"
"27. Mai 2020","3,695","3,800","3,980","3,625","0,17K","-10,32%"
"26. Mai 2020","4,120","4,350","4,910","4,250","0,41K","5,91%"
"22. Mai 2020","3,890","3,750","4,060","3,650","0,22K","1,57%"
"21. Mai 2020","3,830","3,960","4,000","3,790","0,03K","-14,13%"
"20. Mai 2020","4,460","4,750","4,760","4,420","0,08K","-3,25%"
"19. Mai 2020","4,610","4,775","4,825","4,610","0,14K","-6,30%"
"18. Mai 2020","4,920","5,280","5,385","4,875","0,15K","-5,75%"
"15. Mai 2020","5,220","5,400","5,420","5,170","0,36K","-0,76%"
"14. Mai 2020","5,260","5,170","5,290","5,170","0,23K","2,73%"
"13. Mai 2020","5,120","5,375","5,375","5,100","0,09K","-3,67%"
"12. Mai 2020","5,315","5,575","5,625","5,280","0,27K","-6,84%"
"11. Mai 2020","5,705","5,700","5,800","5,660","0,25K","-2,14%"
"08. Mai 2020","5,830","5,830","5,830","5,830","","-0,17%"
"07. Mai 2020","5,840","5,840","5,970","5,800","0,48K","1,39%"
"06. Mai 2020","5,760","5,740","5,800","5,730","0,24K","1,50%"
"05. Mai 2020","5,675","5,850","5,900","5,635","0,43K","-1,13%"
"04. Mai 2020","5,740","5,900","5,900","5,705","0,72K","-1,80%"
"01. Mai 2020","5,845","6,200","6,200","5,735","1,08K","-6,03%"
"30. Apr. 2020","6,220","6,325","6,330","6,200","0,06K","3,41%"
"29. Apr. 2020","6,015","6,010","6,010","6,010","","-2,12%"
"28. Apr. 2020","6,145","5,975","6,200","5,975","0,09K","3,45%"
"27. Apr. 2020","5,940","5,830","6,000","5,830","0,11K","2,95%"
"24. Apr. 2020","5,770","5,830","5,850","5,800","0,69K","-4,71%"
"23. Apr. 2020","6,055","6,150","6,150","6,040","0,11K","-2,65%"
"22. Apr. 2020","6,220","6,120","6,490","6,120","0,30K","-1,58%"
"21. Apr. 2020","6,320","6,600","6,600","6,300","0,25K","-4,53%"
"20. Apr. 2020","6,620","6,740","6,740","6,740","0,02K","-5,43%"
"17. Apr. 2020","7,000","7,180","7,180","6,960","0,44K","1,38%"
"16. Apr. 2020","6,905","6,980","6,980","6,925","0,04K","3,83%"
"15. Apr. 2020","6,650","6,825","6,850","6,745","0,36K","-3,34%"
"14. Apr. 2020","6,880","7,170","7,170","6,870","0,18K","-5,49%"
"13. Apr. 2020","7,280","7,280","7,280","7,280","","0,00%"
"09. Apr. 2020","7,280","7,475","7,525","7,235","0,21K","0,28%"
"08. Apr. 2020","7,260","7,300","7,400","7,260","0,49K","-0,41%"
"07. Apr. 2020","7,290","7,400","7,500","7,300","0,16K","0,00%"
"06. Apr. 2020","7,290","6,800","7,400","6,800","0,09K","5,35%"
"03. Apr. 2020","6,920","6,830","7,030","6,780","0,44K","-0,14%"
"02. Apr. 2020","6,930","7,280","7,280","6,860","0,41K","1,54%"
"01. Apr. 2020","6,825","6,725","6,850","6,725","1,02K","-1,09%"
"31. März 2020","6,900","7,100","7,170","7,100","0,09K","0,15%"
"30. März 2020","6,890","6,890","6,890","6,890","0,18K","-4,57%"
"27. März 2020","7,220","7,250","7,330","7,170","1,00K","-4,69%"
"26. März 2020","7,575","7,580","7,605","7,580","0,61K","-2,26%"
"25. März 2020","7,750","7,760","7,760","7,760","0,06K","-2,02%"
"24. März 2020","7,910","8,050","8,100","7,860","0,19K","0,76%"
"23. März 2020","7,850","8,020","8,020","7,935","0,15K","-5,36%"
"20. März 2020","8,295","8,290","8,290","8,290","0,08K","-2,87%"
"19. März 2020","8,540","8,430","8,550","8,370","0,37K","3,26%"
"18. März 2020","8,270","8,300","8,320","8,160","0,93K","-2,36%"
"17. März 2020","8,470","8,775","8,775","8,425","0,74K","-3,09%"
"16. März 2020","8,740","8,700","8,770","8,640","0,62K","-5,92%"
"13. März 2020","9,290","9,360","9,630","9,260","0,35K","-0,32%"
"12. März 2020","9,320","9,100","9,390","9,100","0,44K","-0,53%"
"11. März 2020","9,370","8,975","9,380","8,975","0,29K","4,23%"
"10. März 2020","8,990","8,880","9,050","8,840","0,68K","4,29%"
"09. März 2020","8,620","8,280","8,620","8,280","0,41K","-0,29%"
"06. März 2020","8,645","8,775","8,775","8,560","0,44K","-2,32%"
"05. März 2020","8,850","8,900","8,900","8,825","0,91K","-0,67%"
"04. März 2020","8,910","8,975","9,055","8,825","2,14K","-2,84%"
"03. März 2020","9,170","9,020","9,210","9,020","0,45K","3,21%"
"02. März 2020","8,885","9,000","9,050","8,795","1,62K","0,11%"
"28. Feb. 2020","8,875","8,650","8,950","8,650","0,17K","0,06%"
"27. Feb. 2020","8,870","8,870","8,870","8,870","","-2,21%"
"26. Feb. 2020","9,070","8,875","9,075","8,800","0,35K","0,67%"
"25. Feb. 2020","9,010","9,000","9,000","8,930","0,70K","-0,39%"
"24. Feb. 2020","9,045","9,210","9,210","9,125","0,26K","-3,88%"
"21. Feb. 2020","9,410","9,300","9,510","9,300","0,07K","-1,57%"
"20. Feb. 2020","9,560","9,570","9,570","9,380","0,19K","-0,10%"
"19. Feb. 2020","9,570","9,220","9,540","9,220","0,12K","2,03%"
"18. Feb. 2020","9,380","9,200","9,490","9,200","0,21K","5,63%"
"14. Feb. 2020","8,880","8,925","8,925","8,925","0,02K","-0,11%"
"13. Feb. 2020","8,890","8,575","8,800","8,575","0,18K","1,95%"
"12. Feb. 2020","8,720","8,570","8,770","8,570","0,07K","1,93%"
"11. Feb. 2020","8,555","8,500","8,650","8,500","0,14K","-1,04%"
"10. Feb. 2020","8,645","8,775","8,775","8,575","0,14K","-4,69%"
"07. Feb. 2020","9,070","9,220","9,220","8,980","0,06K","-0,87%"
"06. Feb. 2020","9,150","8,930","9,200","8,930","0,20K","-1,72%"
"05. Feb. 2020","9,310","9,440","9,440","9,280","0,09K","-0,59%"
"04. Feb. 2020","9,365","9,285","9,385","9,100","0,34K","1,68%"
"03. Feb. 2020","9,210","9,600","9,600","9,190","0,17K","-5,59%"
"31. Jan. 2020","9,755","9,975","10,010","9,930","0,02K","-0,26%"
"30. Jan. 2020","9,780","10,000","10,000","10,000","0,17K","-3,65%"
"29. Jan. 2020","10,150","10,675","10,675","10,335","0,10K","-5,93%"
"28. Jan. 2020","10,790","10,800","10,800","10,750","0,05K","2,47%"
"27. Jan. 2020","10,530","10,510","10,590","10,470","0,11K","0,67%"
"24. Jan. 2020","10,460","10,630","10,630","10,480","0,15K","0,29%"
"23. Jan. 2020","10,430","10,380","10,450","10,230","0,26K","-0,29%"
"22. Jan. 2020","10,460","10,660","10,660","10,370","0,49K","-2,92%"
"21. Jan. 2020","10,775","10,665","10,945","10,600","0,28K","-1,42%"
"17. Jan. 2020","10,930","11,050","11,050","10,940","0,15K","-1,71%"
"16. Jan. 2020","11,120","11,430","11,430","11,020","0,19K","-0,54%"
"15. Jan. 2020","11,180","11,280","11,300","11,200","0,12K","-1,06%"
"14. Jan. 2020","11,300","12,030","12,030","11,690","0,07K","-6,26%"
"13. Jan. 2020","12,055","12,150","12,150","12,075","0,40K","0,96%"
"10. Jan. 2020","11,940","12,200","12,220","11,950","1,15K","-1,97%"
"09. Jan. 2020","12,180","11,925","12,250","11,925","1,14K","1,80%"
"08. Jan. 2020","11,965","11,835","12,050","11,825","0,64K","0,29%"
"07. Jan. 2020","11,930","11,950","12,150","11,870","0,52K","-2,85%"
"06. Jan. 2020","12,280","12,700","12,700","12,700","0,03K","-5,39%"
"03. Jan. 2020","12,980","12,400","12,750","12,400","0,25K","7,54%"
"02. Jan. 2020","12,070","12,440","12,460","12,130","0,44K","0,17%"
"31. Dez. 2019","12,050","12,050","12,050","12,050","","-1,95%"
"30. Dez. 2019","12,290","12,290","12,290","12,290","","-3,76%"
"27. Dez. 2019","12,770","12,770","12,770","12,770","","1,31%"
"26. Dez. 2019","12,605","12,610","12,610","12,610","","-0,04%"
"24. Dez. 2019","12,610","12,610","12,610","12,610","0,02K","-3,19%"
"23. Dez. 2019","13,025","13,210","13,210","13,065","0,06K","-8,50%"
"20. Dez. 2019","14,235","14,075","14,215","14,025","0,09K","-5,13%"
"19. Dez. 2019","15,005","14,400","14,975","14,400","0,45K","0,37%"
"18. Dez. 2019","14,950","14,350","15,010","14,350","1,03K","3,39%"
"17. Dez. 2019","14,460","14,470","14,500","14,460","0,19K","4,10%"
"16. Dez. 2019","13,890","13,950","13,950","13,940","0,14K","0,65%"
"13. Dez. 2019","13,800","14,230","14,320","13,800","0,31K","-6,57%"
"12. Dez. 2019","14,770","14,150","14,750","14,150","0,51K","5,20%"
"11. Dez. 2019","14,040","14,170","14,170","14,020","0,18K","-3,37%"
"10. Dez. 2019","14,530","14,370","14,500","14,310","0,20K","-2,42%"
"09. Dez. 2019","14,890","14,775","14,950","14,740","0,33K","-1,65%"
"06. Dez. 2019","15,140","15,180","15,280","15,100","0,39K","-1,75%"
"05. Dez. 2019","15,410","15,600","15,680","15,570","0,37K","-2,96%"
"04. Dez. 2019","15,880","15,600","15,900","15,600","0,56K","0,70%"
"03. Dez. 2019","15,770","15,675","15,835","15,675","0,35K","-0,25%"
"02. Dez. 2019","15,810","15,955","16,000","15,800","0,17K","-3,18%"
"29. Nov. 2019","16,330","16,330","16,330","16,330","","2,19%"
"27. Nov. 2019","15,980","15,950","16,100","15,875","0,22K","0,82%"
"26. Nov. 2019","15,850","16,000","16,045","15,855","0,07K","-2,34%"
"25. Nov. 2019","16,230","16,480","16,480","16,270","0,09K","1,12%"
"22. Nov. 2019","16,050","16,000","16,150","15,950","0,35K","2,75%"
"21. Nov. 2019","15,620","15,680","15,800","15,650","0,46K","0,19%"
"20. Nov. 2019","15,590","15,300","15,530","15,250","0,11K","1,96%"
"19. Nov. 2019","15,290","15,150","15,400","15,150","0,32K","0,39%"
"18. Nov. 2019","15,230","15,380","15,400","15,180","0,44K","-3,09%"
"15. Nov. 2019","15,715","15,400","15,725","15,400","0,46K","0,29%"
"14. Nov. 2019","15,670","15,450","15,700","15,450","0,75K","1,42%"
"13. Nov. 2019","15,450","15,275","15,475","15,275","0,16K","-0,58%"
"12. Nov. 2019","15,540","15,600","15,600","15,480","0,39K","-1,96%"
"11. Nov. 2019","15,850","15,880","15,930","15,820","0,62K","-0,56%"
"08. Nov. 2019","15,940","16,180","16,200","15,880","0,18K","-1,12%"
"07. Nov. 2019","16,120","16,230","16,300","16,140","0,64K","-0,98%"
"06. Nov. 2019","16,280","16,575","16,575","16,300","0,85K","-3,04%"
"05. Nov. 2019","16,790","16,750","16,910","16,700","1,08K","1,88%"
"04. Nov. 2019","16,480","16,300","16,680","16,150","1,05K","1,85%"
"01. Nov. 2019","16,180","16,350","16,350","16,180","0,52K","0,25%"
"31. Okt. 2019","16,140","16,050","16,180","16,020","0,32K","17,13%"
"30. Okt. 2019","13,780","13,625","13,625","13,625","0,06K","-0,43%"
"29. Okt. 2019","13,840","14,500","14,500","14,400","0,15K","-3,82%"
"28. Okt. 2019","14,390","14,575","14,650","14,450","0,34K","-5,52%"
"25. Okt. 2019","15,230","15,550","15,550","15,400","0,21K","-2,71%"
"24. Okt. 2019","15,655","15,150","15,650","15,150","0,29K","1,59%"
"23. Okt. 2019","15,410","15,300","15,450","15,300","0,11K","-1,22%"
"22. Okt. 2019","15,600","15,750","15,750","15,750","0,03K","-0,06%"
"21. Okt. 2019","15,610","16,210","16,210","15,650","0,04K","-2,22%"
"18. Okt. 2019","15,965","16,245","16,245","15,875","0,36K","-0,34%"
"17. Okt. 2019","16,020","15,820","16,050","15,750","0,39K","-0,31%"
"16. Okt. 2019","16,070","16,230","16,250","16,150","0,08K","0,00%"
"15. Okt. 2019","16,070","16,050","16,050","16,050","0,01K","0,19%"
"14. Okt. 2019","16,040","15,950","15,950","15,950","0,06K","-0,59%"
"11. Okt. 2019","16,135","16,125","16,150","15,825","0,30K","1,80%"
"10. Okt. 2019","15,850","15,825","15,825","15,475","0,49K","1,80%"
"09. Okt. 2019","15,570","15,300","15,930","15,300","1,26K","-0,45%"
"08. Okt. 2019","15,640","15,650","15,700","15,425","0,76K","0,87%"
"07. Okt. 2019","15,505","15,200","15,475","15,200","0,22K","-1,68%"
"04. Okt. 2019","15,770","16,350","16,500","15,750","0,16K","-1,50%"
"03. Okt. 2019","16,010","16,000","16,225","15,850","0,31K","0,03%"
"02. Okt. 2019","16,005","16,300","16,300","15,925","0,20K","-4,50%"
"01. Okt. 2019","16,760","16,250","16,730","16,180","0,20K","2,26%"
"30. Sept. 2019","16,390","16,680","16,690","16,680","0,02K","37,27%"
"27. Sept. 2019","11,940","11,940","11,940","11,940","","-0,83%"
"26. Sept. 2019","12,040","12,040","12,040","12,040","","0,75%"
"25. Sept. 2019","11,950","11,940","12,050","11,940","0,21K","-3,16%"
"24. Sept. 2019","12,340","12,175","12,600","12,175","0,04K","0,78%"
"23. Sept. 2019","12,245","12,240","12,240","12,240","","-3,66%"
"20. Sept. 2019","12,710","12,575","12,575","12,575","0,05K","3,67%"
"19. Sept. 2019","12,260","12,260","12,260","12,260","0,04K","-1,41%"
"18. Sept. 2019","12,435","12,800","12,800","12,535","0,02K","-7,48%"
"17. Sept. 2019","13,440","14,175","14,175","13,525","0,07K","-12,39%"
"16. Sept. 2019","15,340","15,150","15,150","15,150","0,01K","4,28%"
"13. Sept. 2019","14,710","15,650","15,650","15,640","0,05K","1,73%"
"12. Sept. 2019","14,460","14,540","14,540","14,540","0,05K","0,70%"
"11. Sept. 2019","14,360","14,050","14,490","14,050","0,05K","-0,31%"
"10. Sept. 2019","14,405","12,350","13,800","12,350","0,28K","17,78%"
"09. Sept. 2019","12,230","12,680","12,680","12,300","0,41K","-0,97%"
"06. Sept. 2019","12,350","12,175","12,175","12,100","0,25K","0,94%"
"05. Sept. 2019","12,235","11,800","12,000","11,800","0,33K","2,30%"
"04. Sept. 2019","11,960","12,150","12,150","12,100","0,08K","-1,16%"
"03. Sept. 2019","12,100","11,950","12,120","11,680","1,00K","-5,39%"
"30. Aug. 2019","12,790","12,790","12,790","12,790","0,01K","19,42%"
"29. Aug. 2019","10,710","10,430","10,640","10,430","0,02K","4,69%"
"28. Aug. 2019","10,230","10,350","10,350","10,220","0,22K","1,59%"
"27. Aug. 2019","10,070","10,150","10,250","10,150","0,08K","-2,33%"
"26. Aug. 2019","10,310","10,310","10,310","10,310","","-2,64%"
"23. Aug. 2019","10,590","10,820","10,820","10,650","0,04K","-3,64%"
"22. Aug. 2019","10,990","11,280","11,380","10,980","0,16K","-3,68%"
"21. Aug. 2019","11,410","11,200","11,700","11,200","0,51K","1,74%"
"20. Aug. 2019","11,215","11,300","11,305","11,225","0,05K","3,94%"
"19. Aug. 2019","10,790","10,800","11,100","10,760","0,22K","-1,51%"
"16. Aug. 2019","10,955","11,175","11,350","10,925","0,11K","-2,36%"
"15. Aug. 2019","11,220","11,150","11,250","11,070","0,13K","0,36%"
"14. Aug. 2019","11,180","11,500","11,600","11,225","0,24K","-5,73%"
"13. Aug. 2019","11,860","11,450","11,750","11,450","0,29K","3,85%"
"12. Aug. 2019","11,420","11,950","12,050","11,380","0,26K","-5,07%"
"09. Aug. 2019","12,030","12,050","12,200","11,790","0,13K","-0,37%"
"08. Aug. 2019","12,075","11,250","12,040","11,200","0,43K","5,83%"
"07. Aug. 2019","11,410","11,000","11,400","10,900","0,48K","4,20%"
"06. Aug. 2019","10,950","11,180","11,250","10,880","0,86K","-4,45%"
"05. Aug. 2019","11,460","11,970","12,150","11,380","1,09K","-4,62%"
"02. Aug. 2019","12,015","11,960","12,655","11,960","0,07K","-2,79%"
"01. Aug. 2019","12,360","11,675","12,345","11,550","0,39K","12,36%"
"31. Juli 2019","11,000","11,000","11,000","11,000","","12,36%"
"30. Juli 2019","9,790","9,850","9,900","9,720","0,27K","-0,20%"
"29. Juli 2019","9,810","10,075","10,150","9,750","0,41K","-1,51%"
"26. Juli 2019","9,960","10,000","10,120","9,880","0,58K","-0,65%"
"25. Juli 2019","10,025","10,250","10,275","10,050","0,38K","-0,45%"
"24. Juli 2019","10,070","10,380","10,470","10,200","0,26K","-6,33%"
"23. Juli 2019","10,750","10,125","10,400","10,125","0,27K","5,81%"
"22. Juli 2019","10,160","10,900","10,950","10,375","0,80K","-6,06%"
"19. Juli 2019","10,815","10,900","10,900","10,900","0,02K","0,75%"
"18. Juli 2019","10,735","11,075","11,125","10,625","0,94K","-2,32%"
"17. Juli 2019","10,990","11,000","11,280","10,820","0,09K","-3,68%"
"16. Juli 2019","11,410","12,130","12,130","12,130","0,02K","-11,52%"
"15. Juli 2019","12,895","13,725","13,725","13,410","0,14K","-2,90%"
"12. Juli 2019","13,280","12,650","13,150","12,650","0,09K","1,14%"
"11. Juli 2019","13,130","12,720","12,850","12,300","0,09K","8,20%"
"10. Juli 2019","12,135","11,350","12,125","11,350","0,39K","3,19%"
"09. Juli 2019","11,760","12,220","12,680","11,850","0,92K","-1,01%"
"08. Juli 2019","11,880","11,110","12,070","11,110","1,03K","5,98%"
"05. Juli 2019","11,210","10,570","11,240","10,260","0,17K","8,94%"
"03. Juli 2019","10,290","10,380","10,380","10,180","0,15K","0,68%"
"02. Juli 2019","10,220","10,650","10,860","10,250","0,13K","-1,40%"
"01. Juli 2019","10,365","10,570","10,675","10,250","0,17K","2,47%"
"28. Juni 2019","10,115","9,750","9,765","9,750","0,04K","7,89%"
"27. Juni 2019","9,375","9,380","9,380","9,380","","-2,55%"
"26. Juni 2019","9,620","9,620","9,620","9,620","","-2,29%"
"25. Juni 2019","9,845","9,875","9,875","9,875","0,01K","-3,48%"
"24. Juni 2019","10,200","10,200","10,200","10,200","0,01K","-1,54%"
"21. Juni 2019","10,360","9,800","10,290","9,780","0,07K","2,07%"
"20. Juni 2019","10,150","10,150","10,150","10,150","","-3,15%"
"19. Juni 2019","10,480","10,480","10,480","10,480","","-5,07%"
"18. Juni 2019","11,040","11,400","11,400","11,280","0,05K","-4,58%"
"17. Juni 2019","11,570","11,355","11,355","11,280","0,03K","2,21%"
"14. Juni 2019","11,320","11,350","11,350","11,350","0,02K","-0,61%"
"13. Juni 2019","11,390","11,520","11,630","11,350","0,04K","2,24%"
"12. Juni 2019","11,140","11,210","11,210","11,210","0,01K","-0,54%"
"11. Juni 2019","11,200","11,480","11,480","11,480","0,02K","-5,08%"
"10. Juni 2019","11,800","11,650","11,650","11,650","0,05K","2,43%"
"07. Juni 2019","11,520","11,245","11,475","11,245","0,05K","3,74%"
"06. Juni 2019","11,105","11,320","11,320","11,320","0,06K","-4,27%"
"05. Juni 2019","11,600","11,600","11,600","11,600","0,01K","-2,60%"
"04. Juni 2019","11,910","11,910","11,910","11,910","","7,30%"
"03. Juni 2019","11,100","11,100","11,100","11,100","","-0,98%"
"31. Mai 2019","11,210","11,210","11,210","11,210","0,01K","-2,27%"
"30. Mai 2019","11,470","11,470","11,470","11,470","","-6,14%"
"29. Mai 2019","12,220","12,220","12,220","12,220","","-2,40%"
"28. Mai 2019","12,520","12,520","12,520","12,520","","2,20%"
"24. Mai 2019","12,250","12,440","12,440","12,410","0,02K","-2,78%"
"23. Mai 2019","12,600","12,600","12,600","12,600","","-0,40%"
"22. Mai 2019","12,650","12,885","12,885","12,885","0,01K","-0,47%"
"21. Mai 2019","12,710","12,600","12,600","12,600","0,01K","-1,51%"
"20. Mai 2019","12,905","12,900","12,900","12,900","","0,35%"
"17. Mai 2019","12,860","12,940","12,940","12,940","0,00K","-3,92%"
"16. Mai 2019","13,385","13,380","13,380","13,380","","-3,43%"
"15. Mai 2019","13,860","13,860","13,860","13,860","","0,54%"
"14. Mai 2019","13,785","13,790","13,790","13,790","","0,18%"
"13. Mai 2019","13,760","13,760","13,760","13,760","","-1,68%"
"10. Mai 2019","13,995","13,990","13,990","13,990","","-3,18%"
"09. Mai 2019","14,455","14,460","14,460","14,460","","0,94%"
"08. Mai 2019","14,320","14,175","14,350","14,150","0,02K","1,20%"
"07. Mai 2019","14,150","14,320","14,320","14,120","0,04K","-1,32%"
"06. Mai 2019","14,340","14,340","14,340","14,340","","-1,54%"
"03. Mai 2019","14,565","14,560","14,560","14,560","","1,36%"
"02. Mai 2019","14,370","14,370","14,370","14,370","","2,24%"
"01. Mai 2019","14,055","14,100","14,100","14,050","0,03K","-2,33%"
"30. Apr. 2019","14,390","14,425","14,425","14,425","0,01K","-0,93%"
"29. Apr. 2019","14,525","14,530","14,530","14,530","","0,66%"
"26. Apr. 2019","14,430","14,720","14,780","14,680","0,11K","-0,76%"
"25. Apr. 2019","14,540","14,540","14,540","14,540","","1,89%"
"24. Apr. 2019","14,270","14,430","14,430","14,430","0,01K","-1,04%"
"23. Apr. 2019","14,420","14,110","14,500","14,110","0,04K","-0,28%"
"22. Apr. 2019","14,460","14,460","14,460","14,460","","0,00%"
"18. Apr. 2019","14,460","15,000","15,000","15,000","0,01K","-4,84%"
"17. Apr. 2019","15,195","15,200","15,200","15,200","","2,43%"
"16. Apr. 2019","14,835","14,850","14,850","14,850","0,01K","-1,17%"
"15. Apr. 2019","15,010","15,640","15,640","15,285","0,03K","-5,33%"
"12. Apr. 2019","15,855","15,895","15,900","15,800","0,03K","-0,84%"
"11. Apr. 2019","15,990","15,550","15,900","15,550","0,04K","1,65%"
"10. Apr. 2019","15,730","15,730","15,730","15,730","0,01K","-6,09%"
"09. Apr. 2019","16,750","16,750","16,750","16,750","","4,95%"
"08. Apr. 2019","15,960","16,570","16,950","16,200","0,04K","-4,09%"
"05. Apr. 2019","16,640","16,640","16,640","16,640","0,01K","12,43%"
"04. Apr. 2019","14,800","14,600","14,600","14,600","0,02K","4,30%"
"03. Apr. 2019","14,190","13,700","13,700","13,700","0,02K","5,46%"
"02. Apr. 2019","13,455","13,460","13,460","13,460","0,01K","-2,85%"
"01. Apr. 2019","13,850","13,850","13,850","13,850","","-2,53%"
"29. März 2019","14,210","14,220","14,220","14,220","0,01K","-1,52%"
"28. März 2019","14,430","14,800","14,880","14,800","0,71K","-3,77%"
"27. März 2019","14,995","14,500","14,675","14,500","0,09K","4,24%"
"26. März 2019","14,385","14,200","14,415","14,200","0,13K","1,37%"
"25. März 2019","14,190","14,190","14,190","14,180","0,02K","-1,87%"
"22. März 2019","14,460","14,430","14,460","14,360","0,04K","-0,72%"
"21. März 2019","14,565","14,920","14,920","14,550","0,09K","-4,24%"
"20. März 2019","15,210","15,070","15,070","15,070","0,02K","1,33%"
"19. März 2019","15,010","15,200","15,250","14,970","0,13K","0,20%"
"18. März 2019","14,980","14,900","15,180","14,900","0,97K","-1,77%"
"15. März 2019","15,250","15,485","15,485","15,275","0,08K","-2,31%"
"14. März 2019","15,610","15,820","15,820","15,600","0,19K","-0,70%"
"13. März 2019","15,720","15,720","15,720","15,720","0,01K","-3,02%"
"12. März 2019","16,210","16,425","16,525","16,050","0,78K","-2,47%"
"11. März 2019","16,620","16,700","16,700","16,590","0,07K","-0,66%"
"08. März 2019","16,730","16,850","16,850","16,720","0,39K","-0,83%"
"07. März 2019","16,870","16,950","16,950","16,750","0,15K","0,12%"
"06. März 2019","16,850","17,025","17,050","17,000","0,11K","-1,92%"
"05. März 2019","17,180","17,480","17,480","17,180","0,36K","-1,26%"
"04. März 2019","17,400","17,375","17,500","17,375","0,07K","0,46%"
"01. März 2019","17,320","17,320","17,320","17,320","","-2,78%"
"28. Feb. 2019","17,815","17,820","17,820","17,820","0,04K","1,14%"
"27. Feb. 2019","17,615","17,325","17,635","17,325","0,05K","3,34%"
"26. Feb. 2019","17,045","17,050","17,050","17,050","","0,56%"
"25. Feb. 2019","16,950","17,000","17,000","17,000","0,01K","-1,63%"
"22. Feb. 2019","17,230","17,230","17,230","17,230","","-1,66%"
"21. Feb. 2019","17,520","17,520","17,520","17,520","","-3,44%"
"20. Feb. 2019","18,145","18,140","18,140","18,140","","2,49%"
"19. Feb. 2019","17,705","17,750","17,830","17,750","0,01K","-2,18%"
"15. Feb. 2019","18,100","18,100","18,100","18,100","","1,94%"
"14. Feb. 2019","17,755","18,165","18,165","17,810","0,03K","-1,47%"
"13. Feb. 2019","18,020","17,800","17,880","17,800","0,10K","1,29%"
"12. Feb. 2019","17,790","18,000","18,000","17,880","0,07K","-1,44%"
"11. Feb. 2019","18,050","17,820","18,120","17,750","0,42K","-1,20%"
"08. Feb. 2019","18,270","18,520","18,520","18,270","0,01K","-3,38%"
"07. Feb. 2019","18,910","19,180","19,180","18,860","0,06K","-0,03%"
"06. Feb. 2019","18,915","19,075","19,150","18,950","0,12K","-1,18%"
"05. Feb. 2019","19,140","19,140","19,140","19,140","","-1,11%"
"04. Feb. 2019","19,355","19,360","19,360","19,360","","0,28%"
"01. Feb. 2019","19,300","19,300","19,300","19,300","","-2,77%"
"31. Jan. 2019","19,850","19,660","19,660","19,660","0,01K","-1,64%"
"30. Jan. 2019","20,180","20,180","20,180","20,180","","-1,97%"
